doi,title,date,type,is_oa,oa_status,cited_by,ml_score,bd_score,survey,authors,abstract_snippet
10.1109/tbdata.2026.3668673,PEXP: A Scalable Parallel Tree-Based Framework for Interpreting Models on Big Data,2026-02-27,article,False,closed,3,4,13,0,Wendong Jiang; Chih-Yung Chang; Tzu-Chia Huang; Yu-Ting Chin; Diptendu Sinha Roy,"The proliferation of big data has fueled the success of deep learning; however, its inherent ”black box” nature poses significant challenges for its adoption in safety-critical domains. Existing interpretable machine learning methods offer partial solutions but often struggle wit"
10.1109/tbdata.2026.3679567,Enhanced Approaches for Anomaly Detection in Streaming Data: Coupling Gaussian Distributions With Space Trees and Adaptive AutoEncoders,2026-03-31,article,False,closed,0,10,7,0,Ercan Gunbilek; Züleyha Akusta Dağdevıren; Hasan Bulut,"Processing, analyzing and continuously monitoring big data streams in real time is crucial for the security and efficiency of organizations and individuals. While machine learning and deep learning have greatly improved anomaly detection, they also have drawbacks, such as relianc"
10.1109/tbdata.2025.3594237,Patch Based Unsupervised Deep Learning for Retrieval and Part Matching in Large Image Datasets,2025-07-30,article,False,closed,3,13,1,0,Anindita Mukherjee; Jaya Sil; Abhimanyu Sahu; Ananda S. Chowdhury,"In this paper, we address the dual problems of retrieval and part (Region Of Interest (ROI)) matching, especially in large-scale image datasets. At the heart of our solution lies a patch-based unsupervised deep image representational model, termed a Bag of Variational Deep Embedd"
10.1109/tbdata.2025.3570035,ScholarFinder: Knowledge Embedding Based Recommendations Using a Deep Embedded Clustering Model,2025-05-16,article,False,closed,0,13,1,0,Yuanxun Zhang; Xiyao Cheng; Roland Oruche; Sai Swathi Sivarathri; Prasad Calyam,"Bold scientific research tasks need multi-disciplinary knowledge and collaborations that require finding scholars from particular domains with relevant knowledge. Given the variety of scholars and diversity, finding the appropriate scholar is an important and challenging problem "
10.1109/tbdata.2026.3668616,"Real-Time Multi-Modal Social Event Detection: A New Dataset and a Key Instance-Driven, Quality-Aware Graph Neural Network",2026-03-13,article,False,closed,0,9,4,0,Yifei Han; Congbo Ma; Shan Xue; Jian Yang; Jia Wu,"Social event detection (SED) involves identifying and analyzing significant real-world events using data generated on social media platforms. With the rapid growth of platforms like Weibo and Twitter, users are sharing not just text but also images. However, most existing SED met"
10.1109/tbdata.2025.3639917,A Fast Linearithmic Graph Clustering Approach for Big Data Using Gravitational Attraction Principle,2025-12-04,article,False,closed,1,5,6,0,Mohammad Maksood Akhter; Abdul Atif Khan; Rashmi Maheshwari; Sraban Kumar Mohanty,"With the exponential growth of Big Data in domains such as healthcare, genomics, and sensor networks, computationally efficient and effective clustering techniques have become essential for uncovering meaningful patterns. Traditional clustering methods face fundamental limitation"
10.1109/tbdata.2025.3603433,SDEC: Semantic Deep Embedded Clustering,2025-08-28,article,False,closed,0,9,2,0,Mohammad Wali Ur Rahman; Ric Nevarez; Lamia Tasnim Mim; Salim Hariri,"The high dimensional and semantically complex nature of textual Big data presents significant challenges for text clustering, which frequently lead to suboptimal groupings when using conventional techniques like k-means or hierarchical clustering. This work presents Semantic Deep"
10.1109/tbdata.2025.3594294,Knowledge Aggregation Transformer Network for Multivariate Time Series Classification,2025-07-31,article,True,green,27,9,1,0,Zhiwen Xiao; Huanlai Xing; Rong Qu; Hui Li; Huagang Tong; Shouxi Luo,"Over the years, various sophisticated deep learning algorithms have surfaced for multivariate time series classification (MTSC), notably the dual-network-based model. This model comprises two parallel networks tailored to time series data: one for local feature extraction and the"
10.1109/tbdata.2025.3552336,Comprehensive Architecture Search for Deep Graph Neural Networks,2025-03-17,article,True,hybrid,1,9,1,0,Y. Dong; Fanxing Pan; Yi Gui; Wenbin Jiang; Yao Wan; Ran Zheng,"In recent years, Neural Architecture Search (NAS) has emerged as a promising approach for automatically discovering superior model architectures for deep Graph Neural Networks (GNNs). Different methods have paid attention to different types of search spaces. However, due to the t"
10.1109/tbdata.2026.3705415,BioAutoML-NAS: An End-to-End AutoML Framework for Multimodal Insect Classification via Neural Architecture Search on Large-Scale Biodiversity Data,2026-06-18,article,True,green,0,6,4,0,Arefin Ittesafun Abian; Debopom Sutradhar; Md Rafi Ur Rashid; Reem E. Mohamed; Md. Rafiqul Islam; Asif Karim,"Insect classification is important for agricultural management and ecological research, as it directly affects crop health and production. However, this task remains challenging due to the complex characteristics of insects, class imbalance, and large-scale datasets. To address t"
10.1109/tbdata.2026.3725915,TypeBandit: Type-Level Context Allocation and Reweighting for Effective Attribute Completion in Heterogeneous Graph Neural Networks,2026-01-01,article,True,green,0,9,1,0,Ta-Yang Wang; Rajgopal Kannan; Viktor Prasanna,"Heterogeneous graphs are widely used to model multi-relational systems, but missing node attributes remain a major bottleneck for downstream learning. In this paper, we identify and formalize type-dependent information asymmetry: the phenomenon that different node types provide s"
